defect_id,lot_id,wafer_id,tool_id,process_step,defect_type,defect_density,x_coord_mm,y_coord_mm,timestamp
D-0000001,W2401-0001,W2401-0001-W13,LIT-03,litho,etch_pit,0.0895,33.51,33.44,2024-01-01T08:21:00
D-0000002,W2401-0001,W2401-0001-W25,LIT-03,litho,patterning_defect,0.074,-13.42,65.29,2024-01-01T08:50:00
D-0000003,W2401-0001,W2401-0001-W10,LIT-03,litho,void,0.0705,-135.73,-49.88,2024-01-01T08:14:00
D-0000004,W2401-0001,W2401-0001-W19,LIT-03,litho,bridge,0.0733,-7.59,112.71,2024-01-01T08:28:00
D-0000005,W2401-0001,W2401-0001-W20,LIT-03,litho,bridge,0.0838,99.77,-82.58,2024-01-01T07:37:00
D-0000006,W2401-0001,W2401-0001-W10,LIT-03,litho,etch_pit,0.0782,94.39,50.19,2024-01-01T08:58:00
D-0000007,W2401-0001,W2401-0001-W09,LIT-03,litho,void,0.0103,-80.69,-82.9,2024-01-01T10:00:00
D-0000008,W2401-0001,W2401-0001-W15,LIT-03,litho,scratch,0.0102,-134.77,-126.32,2024-01-01T09:55:00
D-0000009,W2401-0002,W2401-0002-W18,DIFF-02,diffusion,void,0.3366,-24.81,0.52,2024-01-01T14:00:31
D-0000010,W2401-0002,W2401-0002-W25,DIFF-02,diffusion,particle,0.2766,29.87,-133.74,2024-01-01T13:21:31
D-0000011,W2401-0002,W2401-0002-W07,DIFF-02,diffusion,particle,0.3381,83.34,105.86,2024-01-01T12:32:31
D-0000012,W2401-0002,W2401-0002-W18,DIFF-02,diffusion,scratch,0.2443,46.52,-144.77,2024-01-01T12:42:31
D-0000013,W2401-0002,W2401-0002-W03,DIFF-02,diffusion,particle,0.2614,-6.0,-119.36,2024-01-01T14:04:31
D-0000014,W2401-0002,W2401-0002-W24,DIFF-02,diffusion,particle,0.3644,51.2,-25.16,2024-01-01T12:42:31
D-0000015,W2401-0002,W2401-0002-W07,DIFF-02,diffusion,scratch,0.2904,79.0,-62.94,2024-01-01T13:11:31
D-0000016,W2401-0002,W2401-0002-W23,DIFF-02,diffusion,particle,0.2171,143.88,111.22,2024-01-01T10:53:31
D-0000017,W2401-0002,W2401-0002-W08,DIFF-02,diffusion,particle,0.3926,77.02,-68.52,2024-01-01T11:38:31
D-0000018,W2401-0002,W2401-0002-W04,DIFF-02,diffusion,void,0.2844,0.14,99.89,2024-01-01T13:09:31
D-0000019,W2401-0002,W2401-0002-W15,DIFF-02,diffusion,particle,0.3203,34.08,85.08,2024-01-01T12:24:31
D-0000020,W2401-0002,W2401-0002-W03,DIFF-02,diffusion,particle,0.297,-92.59,132.59,2024-01-01T13:58:31
D-0000021,W2401-0002,W2401-0002-W01,DIFF-02,diffusion,etch_pit,0.3551,139.89,79.41,2024-01-01T11:09:31
D-0000022,W2401-0002,W2401-0002-W06,DIFF-02,diffusion,particle,0.2401,93.93,10.37,2024-01-01T12:55:31
D-0000023,W2401-0002,W2401-0002-W25,DIFF-02,diffusion,particle,0.2074,105.34,87.21,2024-01-01T12:43:31
D-0000024,W2401-0002,W2401-0002-W04,DIFF-02,diffusion,void,0.394,-29.07,-99.08,2024-01-01T13:31:31
D-0000025,W2401-0003,W2401-0003-W25,ETCH-02,etch,bridge,0.0658,141.89,72.91,2024-01-01T17:54:29
D-0000026,W2401-0003,W2401-0003-W25,ETCH-02,etch,void,0.0717,-33.59,42.47,2024-01-01T15:56:29
D-0000027,W2401-0003,W2401-0003-W02,ETCH-02,etch,particle,0.025,21.14,-143.9,2024-01-01T17:56:29
D-0000028,W2401-0003,W2401-0003-W12,ETCH-02,etch,bridge,0.0432,100.58,139.94,2024-01-01T17:04:29
D-0000029,W2401-0003,W2401-0003-W03,ETCH-02,etch,particle,0.0177,6.11,79.31,2024-01-01T17:37:29
D-0000030,W2401-0003,W2401-0003-W05,ETCH-02,etch,void,0.0543,15.38,77.95,2024-01-01T15:36:29
D-0000031,W2401-0003,W2401-0003-W20,ETCH-02,etch,etch_pit,0.0729,41.15,-75.68,2024-01-01T17:23:29
D-0000032,W2401-0004,W2401-0004-W10,IMP-02,implant,particle,0.0185,130.84,49.12,2024-01-01T19:11:52
D-0000033,W2401-0004,W2401-0004-W23,IMP-02,implant,scratch,0.0404,-103.4,-47.7,2024-01-01T20:21:52
D-0000034,W2401-0004,W2401-0004-W03,IMP-02,implant,patterning_defect,0.0391,-0.51,71.11,2024-01-01T20:20:52
D-0000035,W2401-0004,W2401-0004-W01,IMP-02,implant,particle,0.0328,-93.94,-121.26,2024-01-01T19:11:52
D-0000036,W2401-0004,W2401-0004-W17,IMP-02,implant,bridge,0.0781,-40.97,-120.64,2024-01-01T19:43:52
