reading_id,lot_id,tool_id,process_step,parameter_name,parameter_value,alert_flag,timestamp
SR-0000001,W2401-0001,LIT-03,litho,exposure_energy_mj,24.7314,0,2024-01-01T06:00:00
SR-0000002,W2401-0001,LIT-03,litho,exposure_energy_mj,25.5729,0,2024-01-01T06:08:00
SR-0000003,W2401-0001,LIT-03,litho,focus_offset_nm,-1.1688,0,2024-01-01T06:18:00
SR-0000004,W2401-0001,LIT-03,litho,focus_offset_nm,2.7721,0,2024-01-01T06:27:00
SR-0000005,W2401-0001,LIT-03,litho,stage_temp_c,21.6953,0,2024-01-01T06:34:00
SR-0000006,W2401-0001,LIT-03,litho,stage_temp_c,21.8289,0,2024-01-01T06:43:00
SR-0000007,W2401-0001,LIT-03,litho,humidity_pct,47.3192,0,2024-01-01T06:48:00
SR-0000008,W2401-0001,LIT-03,litho,humidity_pct,46.4309,0,2024-01-01T06:59:00
SR-0000009,W2401-0001,LIT-03,litho,dose_uniformity_pct,98.9484,0,2024-01-01T07:04:00
SR-0000010,W2401-0001,LIT-03,litho,dose_uniformity_pct,97.685,0,2024-01-01T07:13:00
SR-0000011,W2401-0002,DIFF-02,diffusion,furnace_temp_c,956.2573,0,2024-01-01T10:10:36
SR-0000012,W2401-0002,DIFF-02,diffusion,furnace_temp_c,949.6993,0,2024-01-01T10:20:36
SR-0000013,W2401-0002,DIFF-02,diffusion,ramp_rate_c_min,8.8743,0,2024-01-01T10:26:36
SR-0000014,W2401-0002,DIFF-02,diffusion,ramp_rate_c_min,9.5341,0,2024-01-01T10:36:36
SR-0000015,W2401-0002,DIFF-02,diffusion,ambient_pressure_torr,763.0254,0,2024-01-01T10:44:36
SR-0000016,W2401-0002,DIFF-02,diffusion,ambient_pressure_torr,762.1776,0,2024-01-01T10:50:36
SR-0000017,W2401-0002,DIFF-02,diffusion,gas_ratio,1.835,0,2024-01-01T10:59:36
SR-0000018,W2401-0002,DIFF-02,diffusion,gas_ratio,2.1797,0,2024-01-01T11:09:36
SR-0000019,W2401-0002,DIFF-02,diffusion,anneal_time_min,34.044,0,2024-01-01T11:16:36
SR-0000020,W2401-0002,DIFF-02,diffusion,anneal_time_min,29.7472,0,2024-01-01T11:22:36
SR-0000021,W2401-0003,DIFF-01,diffusion,furnace_temp_c,955.1536,0,2024-01-01T13:47:13
SR-0000022,W2401-0003,DIFF-01,diffusion,furnace_temp_c,939.6726,0,2024-01-01T13:57:13
SR-0000023,W2401-0003,DIFF-01,diffusion,ramp_rate_c_min,10.3961,0,2024-01-01T14:05:13
SR-0000024,W2401-0003,DIFF-01,diffusion,ramp_rate_c_min,10.0599,0,2024-01-01T14:10:13
SR-0000025,W2401-0003,DIFF-01,diffusion,ambient_pressure_torr,755.9884,0,2024-01-01T14:19:13
SR-0000026,W2401-0003,DIFF-01,diffusion,ambient_pressure_torr,762.8815,0,2024-01-01T14:29:13
SR-0000027,W2401-0003,DIFF-01,diffusion,gas_ratio,2.063,0,2024-01-01T14:35:13
SR-0000028,W2401-0003,DIFF-01,diffusion,gas_ratio,2.0232,0,2024-01-01T14:42:13
SR-0000029,W2401-0003,DIFF-01,diffusion,anneal_time_min,27.6067,0,2024-01-01T14:51:13
SR-0000030,W2401-0003,DIFF-01,diffusion,anneal_time_min,31.3315,0,2024-01-01T14:58:13
