lot_id,node,process_step,tool_id,recipe_id,operator,wafer_count,yield_pct,low_yield_flag,timestamp
W2401-0001,3nm,litho,LIT-03,R-LIT-02,op_bob,25,92.68,0,2024-01-01T06:00:00
W2401-0002,3nm,diffusion,DIFF-02,R-DIF-01,op_alice,25,82.85,0,2024-01-01T10:23:31
W2401-0003,5nm,etch,ETCH-02,R-ETH-06,op_carlos,25,90.08,0,2024-01-01T14:36:29
W2401-0004,3nm,implant,IMP-02,R-IMP-02,op_carlos,25,95.51,0,2024-01-01T18:06:52
W2401-0005,3nm,deposition,DEP-02,R-OXI-02,op_carlos,25,97.2,0,2024-01-01T21:42:26
W2401-0006,3nm,cmp,CMP-01,R-CMP-02,op_eve,25,82.16,0,2024-01-02T01:56:13
W2401-0007,5nm,litho,LIT-01,R-LIT-01,op_diana,25,91.38,0,2024-01-02T06:05:54
W2401-0008,3nm,implant,IMP-02,R-IMP-01,op_eve,25,95.5,0,2024-01-02T09:58:07
W2401-0009,3nm,etch,ETCH-02,R-ETH-05,op_carlos,25,95.57,0,2024-01-02T14:00:09
W2401-0010,3nm,etch,ETCH-01,R-ETH-05,op_diana,25,91.76,0,2024-01-02T18:11:14
W2401-0011,5nm,etch,ETCH-03,R-ETH-05,op_diana,25,81.45,1,2024-01-02T21:53:54
W2401-0012,5nm,implant,IMP-02,R-IMP-02,op_carlos,25,93.66,0,2024-01-03T02:08:36
W2401-0013,3nm,litho,LIT-01,R-LIT-03,op_bob,25,99.9,0,2024-01-03T05:44:03
W2401-0014,3nm,cmp,CMP-02,R-CMP-02,op_eve,25,91.97,0,2024-01-03T09:39:23
W2401-0015,5nm,implant,IMP-02,R-IMP-01,op_carlos,25,95.17,0,2024-01-03T13:16:15
W2401-0016,5nm,diffusion,DIFF-01,R-DIF-01,op_carlos,25,93.62,0,2024-01-03T17:13:28
W2401-0017,3nm,diffusion,DIFF-01,R-DIF-02,op_diana,25,62.77,1,2024-01-03T21:05:54
W2401-0018,3nm,etch,ETCH-03,R-ETH-04,op_alice,25,88.74,0,2024-01-04T00:54:22
W2401-0019,3nm,etch,ETCH-03,R-ETH-05,op_eve,25,93.56,0,2024-01-04T05:13:19
W2401-0020,3nm,implant,IMP-02,R-IMP-02,op_carlos,25,94.64,0,2024-01-04T09:41:11
W2401-0021,3nm,etch,ETCH-01,R-ETH-04,op_carlos,25,95.15,0,2024-01-04T13:42:14
W2401-0022,3nm,etch,ETCH-01,R-ETH-04,op_carlos,25,78.69,1,2024-01-04T17:12:40
W2401-0023,5nm,etch,ETCH-02,R-ETH-05,op_bob,25,76.99,1,2024-01-04T20:50:36
W2401-0024,3nm,implant,IMP-01,R-IMP-01,op_diana,25,94.04,0,2024-01-05T01:12:26
W2401-0025,3nm,etch,ETCH-01,R-ETH-04,op_eve,25,89.52,0,2024-01-05T05:30:28
